projection,quantity,value,status,scope,falsifier,minimal_prospective_requirement,dominant_uncertainty
echo,a90_raw_N32,0.038241809141952084,sensitivity,catalog-conditioned deterministic synthetic-null y_i=0; not observational,A future event-level strain/posterior/PSD likelihood with a non-null event statistic can displace the synthetic-null projection.,"Provide keyed strain, posterior samples, detector PSDs, and an empirical time-slide bank; rerun the same hierarchical likelihood with an independently preregistered statistic.",No real event products; catalog selection and the complete P2-S8 raw A90 union are sensitivity inputs.
echo,exposure_snr2_N32,25384.88,sensitivity,catalog-conditioned deterministic synthetic-null y_i=0; not observational,A future event-level strain/posterior/PSD likelihood with a non-null event statistic can displace the synthetic-null projection.,"Provide keyed strain, posterior samples, detector PSDs, and an empirical time-slide bank; rerun the same hierarchical likelihood with an independently preregistered statistic.",No real event products; catalog selection and the complete P2-S8 raw A90 union are sensitivity inputs.
echo,a90_raw_N64,0.03673101881552902,sensitivity,catalog-conditioned deterministic synthetic-null y_i=0; not observational,A future event-level strain/posterior/PSD likelihood with a non-null event statistic can displace the synthetic-null projection.,"Provide keyed strain, posterior samples, detector PSDs, and an empirical time-slide bank; rerun the same hierarchical likelihood with an independently preregistered statistic.",No real event products; catalog selection and the complete P2-S8 raw A90 union are sensitivity inputs.
echo,exposure_snr2_N64,32828.56,sensitivity,catalog-conditioned deterministic synthetic-null y_i=0; not observational,A future event-level strain/posterior/PSD likelihood with a non-null event statistic can displace the synthetic-null projection.,"Provide keyed strain, posterior samples, detector PSDs, and an empirical time-slide bank; rerun the same hierarchical likelihood with an independently preregistered statistic.",No real event products; catalog selection and the complete P2-S8 raw A90 union are sensitivity inputs.
echo,a90_raw_N128,0.03510866426390162,sensitivity,catalog-conditioned deterministic synthetic-null y_i=0; not observational,A future event-level strain/posterior/PSD likelihood with a non-null event statistic can displace the synthetic-null projection.,"Provide keyed strain, posterior samples, detector PSDs, and an empirical time-slide bank; rerun the same hierarchical likelihood with an independently preregistered statistic.",No real event products; catalog selection and the complete P2-S8 raw A90 union are sensitivity inputs.
echo,exposure_snr2_N128,42233.56,sensitivity,catalog-conditioned deterministic synthetic-null y_i=0; not observational,A future event-level strain/posterior/PSD likelihood with a non-null event statistic can displace the synthetic-null projection.,"Provide keyed strain, posterior samples, detector PSDs, and an empirical time-slide bank; rerun the same hierarchical likelihood with an independently preregistered statistic.",No real event products; catalog selection and the complete P2-S8 raw A90 union are sensitivity inputs.
echo,a90_raw_N259,0.033258068001086924,sensitivity,catalog-conditioned deterministic synthetic-null y_i=0; not observational,A future event-level strain/posterior/PSD likelihood with a non-null event statistic can displace the synthetic-null projection.,"Provide keyed strain, posterior samples, detector PSDs, and an empirical time-slide bank; rerun the same hierarchical likelihood with an independently preregistered statistic.",No real event products; catalog selection and the complete P2-S8 raw A90 union are sensitivity inputs.
echo,exposure_snr2_N259,54537.049999999996,sensitivity,catalog-conditioned deterministic synthetic-null y_i=0; not observational,A future event-level strain/posterior/PSD likelihood with a non-null event statistic can displace the synthetic-null projection.,"Provide keyed strain, posterior samples, detector PSDs, and an empirical time-slide bank; rerun the same hierarchical likelihood with an independently preregistered statistic.",No real event products; catalog selection and the complete P2-S8 raw A90 union are sensitivity inputs.
s8,one_sigma_overlap_omega_0.280000,8,sensitivity,critical boundary is a sensitivity-only grid discovery candidate; no global observational no-go is claimed,"A sourced, independent S8/lensing likelihood at the maintained Omega_m slice that admits the claimed overlap would falsify the scoped no-go; a revised Omega_m prior would falsify its global interpretation.","Supply independently sourced S8/lensing and (w0,wa,Omega_m) likelihood products, then preregister the domain and evaluate a joint likelihood without the legacy overlay shortcut.","Unknown-provenance legacy overlay, growth-index approximation, and fixed Omega_m slice; the nearest crossing shifts with w0/wa grid resolution."
s8,one_sigma_overlap_omega_0.290000,8,sensitivity,critical boundary is a sensitivity-only grid discovery candidate; no global observational no-go is claimed,"A sourced, independent S8/lensing likelihood at the maintained Omega_m slice that admits the claimed overlap would falsify the scoped no-go; a revised Omega_m prior would falsify its global interpretation.","Supply independently sourced S8/lensing and (w0,wa,Omega_m) likelihood products, then preregister the domain and evaluate a joint likelihood without the legacy overlay shortcut.","Unknown-provenance legacy overlay, growth-index approximation, and fixed Omega_m slice; the nearest crossing shifts with w0/wa grid resolution."
s8,one_sigma_overlap_omega_0.300000,4,sensitivity,critical boundary is a sensitivity-only grid discovery candidate; no global observational no-go is claimed,"A sourced, independent S8/lensing likelihood at the maintained Omega_m slice that admits the claimed overlap would falsify the scoped no-go; a revised Omega_m prior would falsify its global interpretation.","Supply independently sourced S8/lensing and (w0,wa,Omega_m) likelihood products, then preregister the domain and evaluate a joint likelihood without the legacy overlay shortcut.","Unknown-provenance legacy overlay, growth-index approximation, and fixed Omega_m slice; the nearest crossing shifts with w0/wa grid resolution."
s8,one_sigma_overlap_omega_0.305000,0,sensitivity,critical boundary is a sensitivity-only grid discovery candidate; no global observational no-go is claimed,"A sourced, independent S8/lensing likelihood at the maintained Omega_m slice that admits the claimed overlap would falsify the scoped no-go; a revised Omega_m prior would falsify its global interpretation.","Supply independently sourced S8/lensing and (w0,wa,Omega_m) likelihood products, then preregister the domain and evaluate a joint likelihood without the legacy overlay shortcut.","Unknown-provenance legacy overlay, growth-index approximation, and fixed Omega_m slice; the nearest crossing shifts with w0/wa grid resolution."
s8,one_sigma_overlap_omega_0.310000,0,sensitivity,critical boundary is a sensitivity-only grid discovery candidate; no global observational no-go is claimed,"A sourced, independent S8/lensing likelihood at the maintained Omega_m slice that admits the claimed overlap would falsify the scoped no-go; a revised Omega_m prior would falsify its global interpretation.","Supply independently sourced S8/lensing and (w0,wa,Omega_m) likelihood products, then preregister the domain and evaluate a joint likelihood without the legacy overlay shortcut.","Unknown-provenance legacy overlay, growth-index approximation, and fixed Omega_m slice; the nearest crossing shifts with w0/wa grid resolution."
s8,one_sigma_overlap_omega_0.320000,0,sensitivity,critical boundary is a sensitivity-only grid discovery candidate; no global observational no-go is claimed,"A sourced, independent S8/lensing likelihood at the maintained Omega_m slice that admits the claimed overlap would falsify the scoped no-go; a revised Omega_m prior would falsify its global interpretation.","Supply independently sourced S8/lensing and (w0,wa,Omega_m) likelihood products, then preregister the domain and evaluate a joint likelihood without the legacy overlay shortcut.","Unknown-provenance legacy overlay, growth-index approximation, and fixed Omega_m slice; the nearest crossing shifts with w0/wa grid resolution."
s8,one_sigma_overlap_omega_0.330000,0,sensitivity,critical boundary is a sensitivity-only grid discovery candidate; no global observational no-go is claimed,"A sourced, independent S8/lensing likelihood at the maintained Omega_m slice that admits the claimed overlap would falsify the scoped no-go; a revised Omega_m prior would falsify its global interpretation.","Supply independently sourced S8/lensing and (w0,wa,Omega_m) likelihood products, then preregister the domain and evaluate a joint likelihood without the legacy overlay shortcut.","Unknown-provenance legacy overlay, growth-index approximation, and fixed Omega_m slice; the nearest crossing shifts with w0/wa grid resolution."
s8,one_sigma_overlap_omega_0.340000,0,sensitivity,critical boundary is a sensitivity-only grid discovery candidate; no global observational no-go is claimed,"A sourced, independent S8/lensing likelihood at the maintained Omega_m slice that admits the claimed overlap would falsify the scoped no-go; a revised Omega_m prior would falsify its global interpretation.","Supply independently sourced S8/lensing and (w0,wa,Omega_m) likelihood products, then preregister the domain and evaluate a joint likelihood without the legacy overlay shortcut.","Unknown-provenance legacy overlay, growth-index approximation, and fixed Omega_m slice; the nearest crossing shifts with w0/wa grid resolution."
s8,one_sigma_overlap_omega_0.350000,0,sensitivity,critical boundary is a sensitivity-only grid discovery candidate; no global observational no-go is claimed,"A sourced, independent S8/lensing likelihood at the maintained Omega_m slice that admits the claimed overlap would falsify the scoped no-go; a revised Omega_m prior would falsify its global interpretation.","Supply independently sourced S8/lensing and (w0,wa,Omega_m) likelihood products, then preregister the domain and evaluate a joint likelihood without the legacy overlay shortcut.","Unknown-provenance legacy overlay, growth-index approximation, and fixed Omega_m slice; the nearest crossing shifts with w0/wa grid resolution."
s8,one_sigma_overlap_omega_0.360000,0,sensitivity,critical boundary is a sensitivity-only grid discovery candidate; no global observational no-go is claimed,"A sourced, independent S8/lensing likelihood at the maintained Omega_m slice that admits the claimed overlap would falsify the scoped no-go; a revised Omega_m prior would falsify its global interpretation.","Supply independently sourced S8/lensing and (w0,wa,Omega_m) likelihood products, then preregister the domain and evaluate a joint likelihood without the legacy overlay shortcut.","Unknown-provenance legacy overlay, growth-index approximation, and fixed Omega_m slice; the nearest crossing shifts with w0/wa grid resolution."
pbh,required_rate_product_N9_n1.0e-05,304332763.2739063,sensitivity,calibrated abundance/rate sensitivity only; no external CMB exclusion or global PBH--PTA likelihood,"A sourced JWST occupation/abundance and PBH binary-rate likelihood that reaches the PTA benchmark within the declared rung, density, DM, and rate boxes would falsify the seed-band deficit.","Supply an independently sourced seed occupation and merger-rate model; demonstrate a rate product in [0,1] for rungs 9--11 and a fraction f_PBH consistent with the DM budget, with no target-tuned abundance.","JWST occupation/duty cycle and PBH binary-merger efficiency are absent; the PTA number is an internal benchmark, and expanded maxima sit on scan boundaries."
pbh,required_rate_product_N9_n1.0e-04,30433276.327390637,sensitivity,calibrated abundance/rate sensitivity only; no external CMB exclusion or global PBH--PTA likelihood,"A sourced JWST occupation/abundance and PBH binary-rate likelihood that reaches the PTA benchmark within the declared rung, density, DM, and rate boxes would falsify the seed-band deficit.","Supply an independently sourced seed occupation and merger-rate model; demonstrate a rate product in [0,1] for rungs 9--11 and a fraction f_PBH consistent with the DM budget, with no target-tuned abundance.","JWST occupation/duty cycle and PBH binary-merger efficiency are absent; the PTA number is an internal benchmark, and expanded maxima sit on scan boundaries."
pbh,required_rate_product_N10_n1.0e-05,30193634.285586745,sensitivity,calibrated abundance/rate sensitivity only; no external CMB exclusion or global PBH--PTA likelihood,"A sourced JWST occupation/abundance and PBH binary-rate likelihood that reaches the PTA benchmark within the declared rung, density, DM, and rate boxes would falsify the seed-band deficit.","Supply an independently sourced seed occupation and merger-rate model; demonstrate a rate product in [0,1] for rungs 9--11 and a fraction f_PBH consistent with the DM budget, with no target-tuned abundance.","JWST occupation/duty cycle and PBH binary-merger efficiency are absent; the PTA number is an internal benchmark, and expanded maxima sit on scan boundaries."
pbh,required_rate_product_N10_n1.0e-04,3019363.428558675,sensitivity,calibrated abundance/rate sensitivity only; no external CMB exclusion or global PBH--PTA likelihood,"A sourced JWST occupation/abundance and PBH binary-rate likelihood that reaches the PTA benchmark within the declared rung, density, DM, and rate boxes would falsify the seed-band deficit.","Supply an independently sourced seed occupation and merger-rate model; demonstrate a rate product in [0,1] for rungs 9--11 and a fraction f_PBH consistent with the DM budget, with no target-tuned abundance.","JWST occupation/duty cycle and PBH binary-merger efficiency are absent; the PTA number is an internal benchmark, and expanded maxima sit on scan boundaries."
pbh,required_rate_product_N11_n1.0e-05,2995587.9267302174,sensitivity,calibrated abundance/rate sensitivity only; no external CMB exclusion or global PBH--PTA likelihood,"A sourced JWST occupation/abundance and PBH binary-rate likelihood that reaches the PTA benchmark within the declared rung, density, DM, and rate boxes would falsify the seed-band deficit.","Supply an independently sourced seed occupation and merger-rate model; demonstrate a rate product in [0,1] for rungs 9--11 and a fraction f_PBH consistent with the DM budget, with no target-tuned abundance.","JWST occupation/duty cycle and PBH binary-merger efficiency are absent; the PTA number is an internal benchmark, and expanded maxima sit on scan boundaries."
pbh,required_rate_product_N11_n1.0e-04,299558.79267302185,sensitivity,calibrated abundance/rate sensitivity only; no external CMB exclusion or global PBH--PTA likelihood,"A sourced JWST occupation/abundance and PBH binary-rate likelihood that reaches the PTA benchmark within the declared rung, density, DM, and rate boxes would falsify the seed-band deficit.","Supply an independently sourced seed occupation and merger-rate model; demonstrate a rate product in [0,1] for rungs 9--11 and a fraction f_PBH consistent with the DM budget, with no target-tuned abundance.","JWST occupation/duty cycle and PBH binary-merger efficiency are absent; the PTA number is an internal benchmark, and expanded maxima sit on scan boundaries."
